"","Number","Name","Position","Birth date","Birth Country","Bats","Throws","Team","position_group","age"
"272","12","Victor González","P","1995-11-16","Mexico","L","L","Diablos Rojos del Mexico","Pitchers",30
"273","6","Adolfo Ramirez","P","1999-06-01","Mexico","R","R","Tecos de los Dos Laredos","Pitchers",26
"274","18","Adrian De Horta","P","1995-03-13","USA","R","R","Tecos de los Dos Laredos","Pitchers",31
"275","65","Alan Lopez","2B","1996-01-03","Mexico","L","R","Tecos de los Dos Laredos","Infield",30
"276","54","Austin Adams","P","1991-05-05","USA","R","R","Tecos de los Dos Laredos","Pitchers",34
"277","90","Brandon Brennan","P","1991-07-26","USA","R","R","Tecos de los Dos Laredos","Pitchers",34
"278","99","Cade Gotta","OF","1991-08-01","USA","R","R","Tecos de los Dos Laredos","Outfield",34
"279","15","Daniel Mengden","P","1993-02-19","USA","R","R","Tecos de los Dos Laredos","Pitchers",33
"280","50","Dario Gardea","P","1999-01-29","Mexico","R","R","Tecos de los Dos Laredos","Pitchers",27
"281","38","David Leal","P","1997-04-22","USA","L","L","Tecos de los Dos Laredos","Pitchers",28
"282","94","Diego Hernandez","P","2004-08-12","Mexico","R","R","Tecos de los Dos Laredos","Pitchers",21
"283","37","Francisco Arcia","C","1989-09-14","Venezuela","L","R","Tecos de los Dos Laredos","Catchers",36
"284","44","Francisco Cordoba","C","1984-06-01","Mexico","R","R","Tecos de los Dos Laredos","Catchers",41
"285","43","Harold Ramírez","RF","1994-09-06","Colombia","R","R","Tecos de los Dos Laredos","Outfield",31
"286","32","Italo Motta","2B","1998-08-07","Mexico","L","R","Tecos de los Dos Laredos","Infield",27
"287","7","J.D. Davis","3B","1993-04-27","USA","R","R","Tecos de los Dos Laredos","Infield",32
"288","40","Jackson Rees","P","1994-07-30","USA","R","R","Tecos de los Dos Laredos","Pitchers",31
"289","53","Jesse Castillo","1B","1983-03-03","Mexico","L","R","Tecos de los Dos Laredos","Infield",43
"290","25","Jonathan Haab","P","1999-08-31","USA","R","R","Tecos de los Dos Laredos","Pitchers",26
"291","13","Jordan Diaz","2B","2000-08-13","Colombia","R","R","Tecos de los Dos Laredos","Infield",25
"292","35","Kennys Vargas","1B","1990-08-01","Puerto Rico","S","R","Tecos de los Dos Laredos","Infield",35
"293","23","Luis De Los Santos","3B","1998-06-09","Dominican Republic","R","R","Tecos de los Dos Laredos","Infield",27
"294","86","Marcos Valenzuela","SS","2003-04-25","Mexico","L","R","Tecos de los Dos Laredos","Infield",22
"295","5","Michael Gomez","P","1996-08-15","USA","R","R","Tecos de los Dos Laredos","Pitchers",29
"296","71","Nate Antone","P","1991-07-15","USA","R","R","Tecos de los Dos Laredos","Pitchers",34
"297","49","Rio Gomez","P","1994-10-20","USA","L","L","Tecos de los Dos Laredos","Pitchers",31
"298","55","Roenis Elías","P","1988-08-01","Cuba","L","L","Tecos de los Dos Laredos","Pitchers",37
"299","11","Ryan Aguilar","RF","1994-09-11","USA","L","L","Tecos de los Dos Laredos","Outfield",31
"300","36","Ryan Hendrix","P","1994-12-16","USA","R","R","Tecos de los Dos Laredos","Pitchers",31
"301","45","Tyler Ivey","P","1996-05-12","USA","R","R","Tecos de los Dos Laredos","Pitchers",29
"302","75","Wilking Rodríguez","P","1990-03-02","Venezuela","R","R","Tecos de los Dos Laredos","Pitchers",36
"303","20","Yadiel Hernandez","OF","1987-10-09","Cuba","L","R","Tecos de los Dos Laredos","Outfield",38
"304","81","Zoilo Almonte","OF","1989-06-10","Dominican Republic","S","R","Tecos de los Dos Laredos","Outfield",36
"305","13","Alan Trejo","SS","1996-05-30","USA","R","R","Acereros del Norte","Infield",29
"306","55","Aldo Nunez","2B","2001-04-23","MEX","S","R","Acereros del Norte","Infield",24
"307","38","Balbino Fuenmayor","1B","1989-11-26","Venezuela","R","R","Acereros del Norte","Infield",36
"308","3","Brady Miller","P","1999-10-19",NA,"R","R","Acereros del Norte","Pitchers",26
"309","95","Bryan Corral","OF","2005-01-28",NA,"L","L","Acereros del Norte","Outfield",21
"310","59","Carlos Romero","P","1999-07-15","Venezuela","R","R","Acereros del Norte","Pitchers",26
"311","14","Carlos Tirado","1B","2005-03-13","MEX","L","R","Acereros del Norte","Infield",21
"312","16","Chavez Fernander","P","1997-07-07","Bahamas","R","R","Acereros del Norte","Pitchers",28
"313","57","Christian Cosby","P","1996-12-21","USA","R","R","Acereros del Norte","Pitchers",29
"314","4","Eric Filia","OF","1992-07-06","USA","L","R","Acereros del Norte","Outfield",33
"315","51","Estalin Ortiz","P","1998-11-20","Dominican Republic","L","L","Acereros del Norte","Pitchers",27
"316","30","Fernando Flores","C","1991-08-21","Mexico","S","R","Acereros del Norte","Catchers",34
"317","77","Ivan Armstrong","P","2000-07-27","Dominican Republic","R","R","Acereros del Norte","Pitchers",25
"318","66","Jecksson Flores","OF","1993-10-28","Venezuela","R","R","Acereros del Norte","Outfield",32
"319","93","Jonathan Lopez","P","2002-05-22","Mexico","R","R","Acereros del Norte","Pitchers",23
"320","69","Jorge Rodriguez","P","2000-08-25","Mexico","L","L","Acereros del Norte","Pitchers",25
"321","45","Jorge Tavarez","P","1995-08-04","Dominican Republic","R","R","Acereros del Norte","Pitchers",30
"322","18","José Peraza","2B","1994-04-30","Venezuela","R","R","Acereros del Norte","Infield",31
"323","98","Jose Soria","P","2003-05-08","Mexico","R","R","Acereros del Norte","Pitchers",22
"324","70","Juan Mora","OF","1999-09-30","Mexico","R","R","Acereros del Norte","Outfield",26
"325","10","Luis González","RF","1995-09-10","Mexico","L","L","Acereros del Norte","Outfield",30
"326","62","Miguel Palos","IF","2007-07-01","Mexico","R","R","Acereros del Norte","Infield",18
"327","71","Oscar Jimenez","C","2004-12-27","Mexico","R","R","Acereros del Norte","Catchers",21
"328","75","Oscar Soria","P","2004-08-24","Mexico","R","R","Acereros del Norte","Pitchers",21
"329","87","Pedro Reyes","P","2002-11-26","Mexico","R","R","Acereros del Norte","Pitchers",23
"330","41","Ramon Hernandez","3B","1996-03-02","Dominican Republic","R","R","Acereros del Norte","Infield",30
"331","48","Rodolfo Amador","3B","1992-11-11","Mexico","L","R","Acereros del Norte","Infield",33
"332","54","Rodolfo Martinez","P","1994-04-04","Dominican Republic","R","R","Acereros del Norte","Pitchers",32
"333","94","Rolando Mora","P","2001-10-26","Mexico","R","R","Acereros del Norte","Pitchers",24
"334","44","Ryley Gilliam","P","1996-08-11","USA","R","R","Acereros del Norte","Pitchers",29
"335","15","Santiago Chávez","C","1995-08-05","Mexico","R","R","Acereros del Norte","Catchers",30
"336","20","Wilmer Rios","P","1994-03-03","Mexico","R","R","Acereros del Norte","Pitchers",32
"337","28","Alexis Vera","P","2000-03-19","Mexico","R","R","Sultanes de Monterrey","Pitchers",26
"338","66","Alonso Becerra","P","2004-07-06","Mexico","L","L","Sultanes de Monterrey","Pitchers",21
"339","89","Andre Sanchez","P","2003-02-05","Mexico","R","R","Sultanes de Monterrey","Pitchers",23
"340","69","Brayan Mendoza","OF","2001-05-30","Mexico","L","R","Sultanes de Monterrey","Outfield",24
"341","8","Carlos Soto","C","1999-04-27","Mexico","L","R","Sultanes de Monterrey","Catchers",26
"342","75","Chris Ellis","P","1992-09-22","USA","L","R","Sultanes de Monterrey","Pitchers",33
"343","80","Daniel Cruz","P","1999-09-08","Mexico","R","R","Sultanes de Monterrey","Pitchers",26
"344","29","Erick Rodriguez","P","2002-03-21","Mexico","R","R","Sultanes de Monterrey","Pitchers",24
"345","97","Geronimo Franzua","P","1993-09-25","Dominican Republic","L","L","Sultanes de Monterrey","Pitchers",32
"346","4","Gustavo Nunez","2B","1988-02-08","Dominican Republic","S","R","Sultanes de Monterrey","Infield",38
"347","67","Ismael Alcantara","OF","1998-09-25","Dominican Republic","R","R","Sultanes de Monterrey","Outfield",27
"348","12","Jake Higginbotham","P","1996-01-11","USA","L","L","Sultanes de Monterrey","Pitchers",30
"349","2","Javier Salazar","SS","1996-10-28","Mexico","L","R","Sultanes de Monterrey","Infield",29
"350","41","Jesus Pirela","P","1989-03-13","Venezuela","R","R","Sultanes de Monterrey","Pitchers",37
"351","58","Josh Lester","1B","1994-07-17","USA","L","R","Sultanes de Monterrey","Infield",31
"352","61","Justus Sheffield","P","1996-05-13","USA","L","L","Sultanes de Monterrey","Pitchers",29
"353","50","Louis Okoye","OF","1997-07-21","Japan","R","R","Sultanes de Monterrey","Outfield",28
"354","62","Luis Santos","2B","2000-01-04","Mexico","R","R","Sultanes de Monterrey","Infield",26
"355","92","Manny Banuelos","P","1991-03-13","Mexico","R","L","Sultanes de Monterrey","Pitchers",35
"356","53","Manuel Urias","P","2001-03-08","Mexico","R","R","Sultanes de Monterrey","Pitchers",25
"357","45","Nolan Kingham","P","1996-08-18","USA","R","R","Sultanes de Monterrey","Pitchers",29
"358","38","Omar Narváez","C","1992-02-10","Venezuela","L","R","Sultanes de Monterrey","Catchers",34
"359","15","Raimel Tapia","OF","1994-02-04","Dominican Republic","L","L","Sultanes de Monterrey","Outfield",32
"360","19","Ramiro Pena","2B","1985-07-18","Mexico","S","R","Sultanes de Monterrey","Infield",40
"361","39","Ricardo Genovés","C","1999-05-14","Venezuela","R","R","Sultanes de Monterrey","Catchers",26
"362","48","Richard Rodríguez","P","1990-03-04","Dominican Republic","R","R","Sultanes de Monterrey","Pitchers",36
"363","54","Ronaldo Alesandro","P","1998-05-07","Dominican Republic","R","R","Sultanes de Monterrey","Pitchers",27
"364","30","Sócrates Brito","OF","1992-09-06","Dominican Republic","L","L","Sultanes de Monterrey","Outfield",33
"365","16","Stephen Tarpley","P","1993-02-17","USA","R","L","Sultanes de Monterrey","Pitchers",33
"366","25","Victor Mendoza","1B","1990-11-30","Mexico","L","L","Sultanes de Monterrey","Infield",35
"367","10","Wilson Garcia","1B","1994-01-11","Venezuela","S","R","Sultanes de Monterrey","Infield",32
"368","65","Yohander Méndez","P","1995-01-17","VEN","L","L","Sultanes de Monterrey","Pitchers",31
"369","16","Adrian Herrera","P","2004-08-10","USA","R","R","Tigres de Quintana Roo","Pitchers",21
"370","82","Aldo Flores","SS","1995-09-30","Mexico","L","R","Tigres de Quintana Roo","Infield",30
"371","7","Alexis Wilson","C","1996-08-13","Mexico","R","R","Tigres de Quintana Roo","Catchers",29
"372","37","Ariel Gracia","P","1994-09-17","Mexico","L","L","Tigres de Quintana Roo","Pitchers",31
"373","33","Carlos Castro","C","1994-05-24","Dominican Republic","R","R","Tigres de Quintana Roo","Catchers",31
"374","77","Carlos Urias","IF","2002-08-16","Mexico","L","R","Tigres de Quintana Roo","Infield",23
"375","19","Cristopher Gastelum","IF","2004-10-19","Mexico","R","R","Tigres de Quintana Roo","Infield",21
"376","13","Diego Madero","SS","1992-01-17","Mexico","R","R","Tigres de Quintana Roo","Infield",34
"377","0","Diosbel Arias","2B","1996-07-21","Cuba","R","R","Tigres de Quintana Roo","Infield",29
"378","69","Enrique Castillo","P","1996-07-30","Mexico","R","R","Tigres de Quintana Roo","Pitchers",29
"379","15","Eric Meza","1B","1998-03-05","Mexico","L","L","Tigres de Quintana Roo","Infield",28
"380","47","Ernesto Borges","P","2001-05-17","Mexico","R","R","Tigres de Quintana Roo","Pitchers",24
"381","17","J.J. Matijevic","OF","1995-11-14","USA","L","R","Tigres de Quintana Roo","Outfield",30
"382","31","Jalen Miller","P","1993-03-15","Italy","R","R","Tigres de Quintana Roo","Pitchers",33
"383","45","Joan Gonzalez","P","1998-05-27","Dominican Republic","R","R","Tigres de Quintana Roo","Pitchers",27
"384","58","Jonathan Partida","P","1998-06-22","Mexico","L","L","Tigres de Quintana Roo","Pitchers",27
"385","72","Jose Adames","P","1993-01-17","Dominican Republic","R","R","Tigres de Quintana Roo","Pitchers",33
"386","99","Jose Albertos","P","1998-11-07","Mexico","R","R","Tigres de Quintana Roo","Pitchers",27
"387","67","Juan Zapata","P","1998-11-19","Dominican Republic","R","R","Tigres de Quintana Roo","Pitchers",27
"388","38","Julio Robaina","P","2001-03-23","Cuba","L","L","Tigres de Quintana Roo","Pitchers",25
"389","3","Manuel Boscan","1B","1993-03-10","Venezuela","L","R","Tigres de Quintana Roo","Infield",33
"390","32","Michele Vassalotti","P","2000-08-02","VEN","R","R","Tigres de Quintana Roo","Pitchers",25
"391","50","Miguel Ojeda Jr.","C","2000-06-16","Mexico","R","R","Tigres de Quintana Roo","Catchers",25
"392","6","Miles Simington","OF","1999-08-24","USA","L","L","Tigres de Quintana Roo","Outfield",26
"393","93","Pedro Peniche","P","2005-01-18","Mexico","R","R","Tigres de Quintana Roo","Pitchers",21
"394","18","Raico Santos","OF","1994-04-20","Cuba","L","L","Tigres de Quintana Roo","Outfield",31
"395","73","Rainer Nunez","1B","2000-12-04","Dominican Republic","R","R","Tigres de Quintana Roo","Infield",25
"396","71","Roberto Gonzalez","OF","2001-08-28","USA","L","R","Tigres de Quintana Roo","Outfield",24
"397","44","Trevor Kelley","P","1992-10-20","USA","R","R","Tigres de Quintana Roo","Pitchers",33
"398","8","Troy Viola","OF","1998-06-21","USA","R","R","Tigres de Quintana Roo","Outfield",27
"399","49","Vicente Valenzuela","P","2001-06-01","Mexico","R","R","Tigres de Quintana Roo","Pitchers",24
"400","30","Xzavion Curry","P","1998-07-27","USA","R","R","Tigres de Quintana Roo","Pitchers",27
"401","1","Aaron Lugo","SS","2001-01-23","Mexico","R","R","Dorados de Chihuahua","Infield",25
"402","44","Alan Valdez","P","2000-12-07","Mexico","R","R","Dorados de Chihuahua","Pitchers",25
"403","96","Alejandro Mejia","1B","1993-03-10","Dominican Republic","R","R","Dorados de Chihuahua","Infield",33
"404","19","Andrelton Simmons","SS","1989-09-04","Curacao","R","R","Dorados de Chihuahua","Infield",36
"405","22","Arturo Roque","P","2000-12-02","Mexico","R","R","Dorados de Chihuahua","Pitchers",25
"406","30","Braden Webb","P","1995-04-25","USA","R","R","Dorados de Chihuahua","Pitchers",30
"407","14","Brainer Bonaci","SS","2002-07-09","Venezuela","S","R","Dorados de Chihuahua","Infield",23
"408","23","Caleb Smith","P","1991-07-28","USA","R","L","Dorados de Chihuahua","Pitchers",34
"409","29","Carlos Munoz","1B","1994-06-29","Mexico","L","L","Dorados de Chihuahua","Infield",31
"410","33","Demetrio Gutierrez","P","1990-02-14","Mexico","L","L","Dorados de Chihuahua","Pitchers",36
"411","49","Devin Smeltzer","P","1995-09-07","USA","R","L","Dorados de Chihuahua","Pitchers",30
"412","97","Emilio Vargas","P","1996-08-12","Dominican Republic","R","R","Dorados de Chihuahua","Pitchers",29
"413","2","Gabriel Ponce","P","1999-04-29","USA","R","R","Dorados de Chihuahua","Pitchers",26
"414","25","Gabriel Ynoa","P","1993-05-26","Dominican Republic","R","R","Dorados de Chihuahua","Pitchers",32
"415","73","Gilberto Vizcarra","C","1999-03-01","Mexico","R","R","Dorados de Chihuahua","Catchers",27
"416","60","Gustavo Ruiz","C","2000-03-22","Mexico","R","R","Dorados de Chihuahua","Catchers",26
"417","18","Jesus Loya","LF","1992-06-15","Mexico","L","R","Dorados de Chihuahua","Outfield",33
"418","91","Joel Flores","OF","2004-07-30","Chile","R","R","Dorados de Chihuahua","Outfield",21
"419","6","Jonathan Schoop","2B","1991-10-16","Curacao","R","R","Dorados de Chihuahua","Infield",34
"420","48","Josh Maciejewski","P","1995-08-14","USA","R","L","Dorados de Chihuahua","Pitchers",30
"421","59","Josue Gamez","P","2002-05-15","Mexico","R","R","Dorados de Chihuahua","Pitchers",23
"422","20","Leobaldo Piña","SS","1994-06-29","Venezuela","R","R","Dorados de Chihuahua","Infield",31
"423","35","Leonardo Taveras","P","1998-09-07","Dominican Republic","R","R","Dorados de Chihuahua","Pitchers",27
"424","8","Mark Contreras","LF","1995-01-24","USA","L","R","Dorados de Chihuahua","Outfield",31
"425","55","Nick Struck","P","1989-10-07","USA","R","R","Dorados de Chihuahua","Pitchers",36
"426","9","Oziel Flores","OF","1997-09-12","Mexico","S","R","Dorados de Chihuahua","Outfield",28
"427","70","Pedro Rodriguez","P","1987-10-31","Venezuela","R","R","Dorados de Chihuahua","Pitchers",38
"428","54","Raul Barron","P","1986-04-04","USA","S","R","Dorados de Chihuahua","Pitchers",40
"429","40","Rusber Estrada","C","1995-06-05","Venezuela","R","R","Dorados de Chihuahua","Catchers",30
"430","50","Samuel Alvarado","P","1994-06-30","USA","R","R","Dorados de Chihuahua","Pitchers",31
"431","11","Shayne Fontana","LF","1997-06-21","USA","L","L","Dorados de Chihuahua","Outfield",28
"432","98","Yamil Castillo","P","1999-08-18","Mexico","R","R","Dorados de Chihuahua","Pitchers",26
"433","32","Alemao Hernandez","P","1999-09-27","Mexico","L","L","Guerreros de Oaxaca","Pitchers",26
"434","2","Alexi Amarista","2B","1989-04-06","Venezuela","L","R","Guerreros de Oaxaca","Infield",37
"435","7","Alfredo Lopez","IF","1989-10-07","USA","R","R","Guerreros de Oaxaca","Infield",36
"436","97","Andres Sosa","C","1997-11-07","Mexico","R","R","Guerreros de Oaxaca","Catchers",28
"437","62","Angel Hernandez","P","2004-01-24","Mexico","R","R","Guerreros de Oaxaca","Pitchers",22
"438","56","Aristides Aquino","RF","1994-04-22","Dominican Republic","R","R","Guerreros de Oaxaca","Outfield",31
"439","14","Carlos Garzon","C","1992-05-14","Mexico","R","R","Guerreros de Oaxaca","Catchers",33
"440","90","Chester Pimentel","P","1995-11-12","Dominican Republic","R","R","Guerreros de Oaxaca","Pitchers",30
"441","65","Cristian Alvarado","P","1994-09-20","Venezuela","R","R","Guerreros de Oaxaca","Pitchers",31
"442","52","Eduardo Mares","P","2003-04-11","Mexico","L","L","Guerreros de Oaxaca","Pitchers",23
"443","44","Edwar Colina","P","1997-05-03","Venezuela","R","R","Guerreros de Oaxaca","Pitchers",28
"444","88","Heber Villalobos","C","2003-09-24","Mexico","R","R","Guerreros de Oaxaca","Catchers",22
"445","40","Joey Krehbiel","P","1992-12-20","USA","R","R","Guerreros de Oaxaca","Pitchers",33
"446","3","Jorge Flores","SS","1991-11-25","Mexico","R","R","Guerreros de Oaxaca","Infield",34
"447","24","Jose Carlos Urena","OF","1995-01-14","Mexico","R","R","Guerreros de Oaxaca","Outfield",31
"448","27","Juan Santana","SS","1994-08-16","Dominican Republic","R","R","Guerreros de Oaxaca","Infield",31
"449","5","Juniel Querecuto","3B","1992-09-19","Venezuela","S","R","Guerreros de Oaxaca","Infield",33
"450","66","Kyle Funkhouser","P","1994-03-16","USA","R","R","Guerreros de Oaxaca","Pitchers",32
"451","18","Luis Barrera","OF","1995-11-15","Dominican Republic","L","L","Guerreros de Oaxaca","Outfield",30
"452","45","Luis Miranda","P","1994-09-05","Mexico","R","R","Guerreros de Oaxaca","Pitchers",31
"453","15","Mel Rojas Jr.","OF","1990-05-24","USA","S","R","Guerreros de Oaxaca","Outfield",35
"454","38","Pedro Castellano","IF","1996-08-26","USA","L","R","Guerreros de Oaxaca","Infield",29
"455","58","Radhames Liz","P","1983-10-06","Dominican Republic","R","R","Guerreros de Oaxaca","Pitchers",42
"456","46","Raymond Burgos","P","1998-11-29","Puerto Rico","L","L","Guerreros de Oaxaca","Pitchers",27
"457","77","Reid Birlingmair","P","1996-11-13","USA","L","R","Guerreros de Oaxaca","Pitchers",29
"458","28","Ricardo Valenzuela","C","1990-08-04","Mexico","R","R","Guerreros de Oaxaca","Catchers",35
"459","89","Robert Dugger","P","1995-07-03","USA","R","R","Guerreros de Oaxaca","Pitchers",30
"460","8","Sebastian Garcia","3B","2002-11-08","Mexico","R","R","Guerreros de Oaxaca","Infield",23
"461","48","Taylor Lehman","P","1995-12-30","USA","L","L","Guerreros de Oaxaca","Pitchers",30
"462","51","Victor Morales","P","2001-10-10","Mexico","R","R","Guerreros de Oaxaca","Pitchers",24
"463","33","Yariel Gonzalez","1B","1994-06-01","Puerto Rico","S","R","Guerreros de Oaxaca","Infield",31
"464","31","Yonathan Daza","CF","1994-02-28","Venezuela","R","R","Guerreros de Oaxaca","Outfield",32
"465","51","A.J. Block","P","1998-04-16","USA","L","L","Caliente de Durango","Pitchers",28
"466","36","Aaron Brooks","P","1990-04-27","USA","R","R","Caliente de Durango","Pitchers",35
"467","7","Andre Lipcius","OF","1998-05-22","USA","R","R","Caliente de Durango","Outfield",27
"468","66","Baltazar Arredondo","P","2004-01-22","Mexico","L","L","Caliente de Durango","Pitchers",22
"469","58","Clayton Andrews","P","1997-01-04","USA","L","L","Caliente de Durango","Pitchers",29
"470","8","David Hensley","SS","1996-03-28","USA","R","R","Caliente de Durango","Infield",30
"471","14","David Villar","1B","1997-01-27","USA","R","R","Caliente de Durango","Infield",29
"472","90","Edwyn  Valle","P","1998-06-30","Mexico","R","R","Caliente de Durango","Pitchers",27
"473","50","Elier Hernandez","OF","1994-11-21","Dominican Republic","R","R","Caliente de Durango","Outfield",31
"474","55","Esteban Bloch","P","1999-08-06","Mexico","R","R","Caliente de Durango","Pitchers",26
"475","23","Felix Doubront","P","1987-10-23","Venezuela","L","L","Caliente de Durango","Pitchers",38
"476","47","Francisco Rios","P","1995-05-06","Mexico","R","R","Caliente de Durango","Pitchers",30
"477","18","Gabriel Noriega","3B","1990-09-13","Venezuela","R","R","Caliente de Durango","Infield",35
"478","57","Hansel Robles","P","1990-08-13","Dominican Republic","R","R","Caliente de Durango","Pitchers",35
"479","93","Hector Villalobos","P","1996-08-19","Mexico","L","L","Caliente de Durango","Pitchers",29
"480","32","Jairus Richards","OF","1997-01-30","USA","L","R","Caliente de Durango","Outfield",29
"481","95","Jesus Rios","P","2001-12-27","Mexico","R","R","Caliente de Durango","Pitchers",24
"482","2","Jonathan Villar","2B","1991-05-02","Dominican Republic","S","R","Caliente de Durango","Infield",34
"483","59","Jorge Sauceda","P","2002-01-17","Mexico","R","R","Caliente de Durango","Pitchers",24
"484","91","Jose Alvarez","1B","1989-02-07","Mexico","R","R","Caliente de Durango","Infield",37
"485","87","José De León","P","1992-08-07","Puerto Rico","R","R","Caliente de Durango","Pitchers",33
"486","72","Juan Uriarte","C","1997-09-17","Mexico","R","R","Caliente de Durango","Catchers",28
"487","44","Luis Rijo","P","1998-09-06","Venezuela","R","R","Caliente de Durango","Pitchers",27
"488","43","Manuel Chavez","P","1993-11-22","Mexico","L","L","Caliente de Durango","Pitchers",32
"489","29","Manuel Orduno","OF","1996-01-21","Mexico","R","R","Caliente de Durango","Outfield",30
"490","89","Nestor Anguamea","P","2000-03-11","Mexico","R","R","Caliente de Durango","Pitchers",26
"491","5","Nick Williams","LF","1993-09-08","USA","L","L","Caliente de Durango","Outfield",32
"492","40","Odrisamer Despaigne","P","1987-04-04","Cuba","R","R","Caliente de Durango","Pitchers",39
"493","17","Reynaldo Rodriguez","1B","1986-07-02","Colombia","R","R","Caliente de Durango","Infield",39
"494","3","Scott Engler","P","1996-12-12","USA","R","R","Caliente de Durango","Pitchers",29
"495","16","Victor Marquez","IF","2001-12-21","Mexico","S","R","Caliente de Durango","Infield",24
"496","27","Webster Rivas","C","1990-08-08","Dominican Republic","R","R","Caliente de Durango","Catchers",35
"497","64","Aderlin Rodríguez","1B","1991-11-18","Dominican Republic","R","R","Toros de Tijuana","Infield",34
"498","63","Brett de Geus","P","1997-11-04","USA","R","R","Toros de Tijuana","Pitchers",28
"499","66","Caleb Baragar","P","1994-04-09","USA","R","L","Toros de Tijuana","Pitchers",32
"500","16","Chris Williams","C","1996-11-23","USA","R","R","Toros de Tijuana","Catchers",29
"501","65","Daniel Martinez","P","1998-07-28","USA","L","R","Toros de Tijuana","Pitchers",27
"502","52","David Gutierrez","P","1993-08-18","Mexico","R","R","Toros de Tijuana","Pitchers",32
"503","40","David Reyes","P","1990-04-12","Mexico","R","R","Toros de Tijuana","Pitchers",36
"504","59","Domingo Germán","P","1992-08-04","Dominican Republic","R","R","Toros de Tijuana","Pitchers",33
"505","99","Edson Garcia","OF","1992-09-11","Mexico","S","R","Toros de Tijuana","Outfield",33
"506","51","Florencio Serrano","P","2000-02-23","USA","R","R","Toros de Tijuana","Pitchers",26
"507","38","Franchy Cordero","OF","1994-09-02","Dominican Republic","L","R","Toros de Tijuana","Outfield",31
"508","22","Greg Allen","CF","1993-03-15","USA","S","R","Toros de Tijuana","Outfield",33
"509","14","Hernán Pérez","SS","1991-03-26","Venezuela","R","R","Toros de Tijuana","Infield",35
"510","74","Isaac Rodriguez","2B","1991-03-03","Mexico","R","R","Toros de Tijuana","Infield",35
"511","25","Jack Mayfield","2B","1990-09-30","USA","R","R","Toros de Tijuana","Infield",35
"512","35","Jorge Perez","P","1993-07-10","USA","R","R","Toros de Tijuana","Pitchers",32
"513","11","Juan Hillman","P","1997-05-15","USA","L","L","Toros de Tijuana","Pitchers",28
"514","27","Junior Lake","LF","1990-03-27","Dominican Republic","R","R","Toros de Tijuana","Outfield",36
"515","60","Luis Amador","C","2003-07-15","Mexico","R","R","Toros de Tijuana","Catchers",22
"516","13","Luis Guillorme","3B","1994-09-27","Venezuela","L","R","Toros de Tijuana","Infield",31
"517","45","Miguel Díaz","P","1994-11-28","Dominican Republic","R","R","Toros de Tijuana","Pitchers",31
"518","32","Noah Skirrow","P","1998-07-21","Canada","R","R","Toros de Tijuana","Pitchers",27
"519","26","Phillip Evans","3B","1992-09-10","USA","R","R","Toros de Tijuana","Infield",33
"520","46","Rafael Castaneda","P","2004-05-18","Mexico","R","R","Toros de Tijuana","Pitchers",21
"521","5","Rafael Ortega","CF","1991-05-15","Venezuela","L","R","Toros de Tijuana","Outfield",34
"522","44","Roberto Ramos","1B","1994-12-28","Mexico","L","R","Toros de Tijuana","Infield",31
"523","53","Roel Ramírez","P","1995-05-26","USA","R","R","Toros de Tijuana","Pitchers",30
"524","8","Sam McWilliams","P","1995-09-04","USA","R","R","Toros de Tijuana","Pitchers",30
"525","20","Tomás Telis","C","1991-06-18","Venezuela","S","R","Toros de Tijuana","Catchers",34
"526","41","Wilmer Flores","1B","1991-08-06","Venezuela","R","R","Toros de Tijuana","Infield",34
"527","44","Ali Solis","C","1987-09-29","Mexico","R","R","El Aguila de Veracruz","Catchers",38
"528","28","Austin Schulfer","P","1995-12-22","USA","R","R","El Aguila de Veracruz","Pitchers",30
"529","18","Braulio Torres-Perez","P","1993-04-09","USA","L","L","El Aguila de Veracruz","Pitchers",33
"530","20","Carlos Franco","3B","1991-12-20","Dominican Republic","L","R","El Aguila de Veracruz","Infield",34
"531","6","Cesar Izturis Jr.","SS","1999-11-11","Venezuela","S","R","El Aguila de Veracruz","Infield",26
"532","14","Corey Rosier","RF","1999-09-07","USA","L","R","El Aguila de Veracruz","Outfield",26
"533","18","Cristopher Molina","P","1997-06-10","Dominican Republic","R","R","El Aguila de Veracruz","Pitchers",28
"534","41","Daniel Montano","LF","1999-03-31","Venezuela","L","R","El Aguila de Veracruz","Outfield",27
"535","13","Danry Vasquez","RF","1994-01-08","Venezuela","L","R","El Aguila de Veracruz","Outfield",32
"536","29","Dinelson Lamet","P","1992-07-18","Dominican Republic","R","R","El Aguila de Veracruz","Pitchers",33
"537","71","Eric De La Rosa","LF","1997-06-03","USA","R","R","El Aguila de Veracruz","Outfield",28
"538","95","Gerardo Gutierrez","P","1998-09-15","Mexico","R","R","El Aguila de Veracruz","Pitchers",27
"539","3","Jack López","2B","1992-12-16","Puerto Rico","R","R","El Aguila de Veracruz","Infield",33
"540","43","Jack Weisenburger","P","1997-10-08","USA","R","R","El Aguila de Veracruz","Pitchers",28
"541","24","Jackson Loftin","SS","2000-05-14","USA","R","R","El Aguila de Veracruz","Infield",25
"542","45","Jeff Ibarra","P","1987-08-18","USA","L","L","El Aguila de Veracruz","Pitchers",38
"543","49","Jhan Mariñez","P","1988-08-12","Dominican Republic","R","R","El Aguila de Veracruz","Pitchers",37
